Date,Opening price,Highest price,Lowest price,Closing price,Ups and downs,Quote,Volume,Transaction amount,Amplitude,Turnover rate
2020-12-04,31.12,31.14,29.94,30.00,-0.90,-2.91,"812,748","246,345",3.88,0.84
2020-12-03,31.37,31.43,30.55,30.90,-0.23,-0.74,"533,328","164,993",2.83,0.55
2020-12-02,30.89,31.96,30.71,31.13,0.38,1.24,"954,562","299,658",4.07,0.98
2020-12-01,30.81,30.96,30.14,30.75,0.05,0.16,"849,853","259,474",2.67,0.87
2020-11-30,31.70,32.73,30.70,30.70,-0.91,-2.88,"1,353,477","428,970",6.42,1.39
2020-11-27,31.10,31.90,31.09,31.61,0.67,2.17,"667,013","209,479",2.62,0.69
2020-11-26,30.78,31.07,30.12,30.94,0.14,0.45,"584,040","178,828",3.08,0.60
2020-11-25,31.00,31.29,30.60,30.80,-0.05,-0.16,"525,685","162,772",2.24,0.54
2020-11-24,31.00,31.40,30.60,30.85,-0.19,-0.61,"493,783","152,537",2.58,0.51
2020-11-23,30.78,31.30,30.63,31.04,0.17,0.55,"665,387","206,181",2.17,0.68
2020-11-20,30.91,31.05,30.44,30.87,-0.04,-0.13,"453,121","139,498",1.97,0.47
2020-11-19,30.55,31.10,30.50,30.91,0.15,0.49,"660,882","203,846",1.95,0.68
2020-11-18,30.00,31.08,29.75,30.76,0.81,2.70,"1,247,658","381,721",4.44,1.28
2020-11-17,29.30,30.33,29.29,29.95,0.75,2.57,"980,541","293,606",3.56,1.01
2020-11-16,29.39,29.50,29.00,29.20,0.15,0.52,"516,576","150,981",1.72,0.53
2020-11-13,29.56,29.69,28.83,29.05,-0.71,-2.39,"660,135","191,935",2.89,0.68
2020-11-12,29.76,29.81,29.38,29.76,-0.01,-0.03,"459,057","136,115",1.44,0.47
2020-11-11,29.37,30.25,29.25,29.77,0.44,1.50,"885,212","264,234",3.41,0.91
2020-11-10,29.70,30.11,29.20,29.33,-0.24,-0.81,"613,771","181,819",3.08,0.63
2020-11-09,29.72,29.86,29.19,29.57,0.11,0.37,"811,185","239,166",2.27,0.83
2020-11-06,29.34,29.57,29.03,29.46,0.21,0.72,"852,881","250,300",1.85,0.88
2020-11-05,28.45,29.36,28.31,29.25,1.09,3.87,"1,201,196","347,208",3.73,1.24
2020-11-04,28.05,28.25,27.90,28.16,0.13,0.46,"454,992","127,844",1.25,0.47
2020-11-03,28.00,28.15,27.81,28.03,0.08,0.29,"617,666","172,882",1.22,0.64
2020-11-02,27.66,28.19,27.66,27.95,0.40,1.45,"826,286","231,251",1.92,0.85
2020-10-30,27.60,28.41,27.40,27.55,0.17,0.62,"937,181","261,210",3.69,0.96
